""      ,"ZPID"       ,"address"                                                           ,"price"    ,"bed" ,"bath" ,"Sq.Feet" ,"city"                 ,"zip-code"
"52"    ,"14457264"   ,"1556 Overland Ter, Atlanta, GA 30317"                              ,"799900"   ,"4"   ,"3"    ,"3625"    ,"Atlanta"              ,"30317"
"53"    ,"65461635"   ,"229 Ponce De Leon Ave NE APT 6, Atlanta, GA 30308"                 ,"259000"   ,"2"   ,"1"    ,"838"     ,"Atlanta"              ,"30308"
"54"    ,"69346191"   ,"1047 Fortress Ave SW, Atlanta, GA 30315"                           ,"275000"   ,"2"   ,"3"    ,"1050"    ,"Atlanta"              ,"30315"
"55"    ,"35931275"   ,"391 9th St NE, Atlanta, GA 30309"                                  ,"1249000"  ,"3"   ,"3"    ,"3141"    ,"Atlanta"              ,"30309"
"56"    ,"35857177"   ,"172 Dahlia Ave NW, Atlanta, GA 30314"                              ,"190000"   ,"3"   ,"2"    ,"891"     ,"Atlanta"              ,"30314"
"57"    ,"82612964"   ,"3136 Abbey Dr SW, Atlanta, GA 30331"                               ,"475000"   ,"5"   ,"3"    ,"4101"    ,"Atlanta"              ,"30331"
"58"    ,"69375671"   ,"1445 Monroe Dr NE APT F30, Atlanta, GA 30324"                      ,"290000"   ,"2"   ,"2"    ,"1060"    ,"Atlanta"              ,"30324"
"59"    ,"14557239"   ,"2327 Sherbrooke Dr, Atlanta, GA 30345"                             ,"510000"   ,"4"   ,"3"    ,"3520"    ,"Atlanta"              ,"30345"
"60"    ,"35885815"   ,"4367 Greenleaf Cir SW, Atlanta, GA 30331"                          ,"325000"   ,"4"   ,"2"    ,"1250"    ,"Atlanta"              ,"30331"
"61"    ,"35888478"   ,"20 Marietta St NW APT 3G, Atlanta, GA 30303"                       ,"210000"   ,"2"   ,"1"    ,"1130"    ,"Atlanta"              ,"30303"
"62"    ,"65451076"   ,"2725 Shoreland Dr SW, Atlanta, GA 30331"                           ,"249999"   ,"3"   ,"2"    ,"0"       ,"Atlanta"              ,"30331"
