"Address","lon","lat","address"
"4801 Labadie Ave, Saint Louis, MO 63115",-90.2499947,38.669858,"4801 labadie ave, st. louis, mo 63115, usa"
"4641 Kennerly Ave, Saint Louis, MO 63113",-90.2484548,38.6655204,"4641 kennerly ave, st. louis, mo 63113, usa"
"8484 Plainview Ave, Detroit, MI 48228",-83.2343941,42.3552178,"8484 plainview ave, detroit, mi 48228, usa"
"4656 Lee Ave, Saint Louis, MO 63115",-90.2396567,38.6769226,"4656 lee ave, st. louis, mo 63115, usa"
"216 NW Studer St, Topeka, KS 66608",-95.6634406,39.0839005,"216 nw studer st, topeka, ks 66608, usa"
"1920 W Norwood St #2B, Chicago, IL 60660",-87.6779381,41.9920742,"1920 w norwood st #2b, chicago, il 60660, usa"
"5001 Underwood St, Detroit, MI 48204",-83.1333721,42.3644087,"5001 underwood ave, detroit, mi 48204, usa"
"4659 Lee Ave, Saint Louis, MO 63115",-90.2395183,38.6772958,"4659 lee ave, st. louis, mo 63115, usa"
"5839 Mimika Ave, Saint Louis, MO 63147",-90.2524513,38.7120998,"5839 mimika ave, st. louis, mo 63147, usa"
"1534 SW Tyler St, Topeka, KS 66612",-95.6842358,39.0384608,"1534 sw tyler st, topeka, ks 66612, usa"
"4406 Falls Bridge Dr UNIT D, Baltimore, MD 21211",-76.6458964,39.34314,"4406 falls bridge dr d, baltimore, md 21211, usa"
"9696 Walnut St APT 1905, Dallas, TX 75243",-96.7216081,32.9228662,"9696 walnut st #1905, dallas, tx 75243, usa"
"4837 Bessie Ave, Saint Louis, MO 63115",-90.2424059,38.680602,"4837 bessie ave, st. louis, mo 63115, usa"
"5587 Page Blvd, Saint Louis, MO 63112",-90.2787844,38.6648907,"5587 page blvd, st. louis, mo 63112, usa"
"4812 Cote Brilliante Ave, Saint Louis, MO 63113",-90.2556781,38.6624333,"4812 cote brilliante ave, st. louis, mo 63113, usa"
"8717 N Broadway, Saint Louis, MO 63147",-90.2290282,38.7216415,"8717 n broadway, st. louis, mo 63147, usa"
"1103 Franklin Ave APT 8, Bronx, NY 10456",-73.9066113,40.8278509,"1103 franklin ave #8, the bronx, ny 10456, usa"
"4475 Lexington Ave, Saint Louis, MO 63115",-90.2395467,38.6699207,"4475 lexington ave, st. louis, mo 63115, usa"
"4928 Hummelsheim Ave, Saint Louis, MO 63123",-90.2981884,38.559287,"4928 hummelsheim ave, st. louis, mo 63123, usa"
"1064 N Melvin Ave, Saint Louis, MO 63137",-90.2356248,38.7236743,"1064 melvin dr, st. louis, mo 63137, usa"
"509 N Ashland Ave, Green Bay, WI 54303",-88.0215379,44.5238611,"509 n ashland ave, green bay, wi 54303, usa"
"4273 Oleatha Ave, Saint Louis, MO 63116",-90.2619666,38.594856,"4273 oleatha ave, st. louis, mo 63116, usa"
"3626 Tennessee Ave, Saint Louis, MO 63118",-90.2409671,38.5907437,"3626 tennessee ave, st. louis, mo 63118, usa"
"7142 Alabama Ave, Saint Louis, MO 63111",-90.260143,38.5536285,"7142 alabama ave, st. louis, mo 63111, usa"
"6830 S May St, Chicago, IL 60621",-87.6533154,41.7695837,"6830 s may st, chicago, il 60621, usa"
"9696 Walnut St APT 1902, Dallas, TX 75243",-96.7209075,32.9240299,"9696 walnut st # s-1902, dallas, tx 75243, usa"
"1103 Franklin Ave APT 19, Bronx, NY 10456",-73.9066113,40.8278509,"1103 franklin ave #19, the bronx, ny 10456, usa"
"757 E 169th St UNIT 2A, BRONX, NY 10456",-73.8998364,40.8310613,"757 e 169th st #2a, the bronx, ny 10456, usa"
"3911 Greer Ave, Saint Louis, MO 63107",-90.2256712,38.6603258,"3911 greer ave, st. louis, mo 63107, usa"
"8622 Goodfellow Blvd, Saint Louis, MO 63147",-90.2518647,38.7179939,"8622 goodfellow blvd, st. louis, mo 63147, usa"
"7913 S Broadway, Saint Louis, MO 63111",-90.2609319,38.5450606,"7913 s broadway, st. louis, mo 63111, usa"
"5542 Era Ave, Saint Louis, MO 63136",-90.2560082,38.7080406,"5542 era ave, st. louis, mo 63136, usa"
"4788 Wren Ave, Saint Louis, MO 63120",-90.257365,38.6957995,"4788 wren ave, st. louis, mo 63120, usa"
"4569 Ruskin Ave, Saint Louis, MO 63115",-90.2472816,38.6885345,"4569 ruskin ave, st. louis, mo 63115, usa"
"3834 Texas Ave, Saint Louis, MO 63118",-90.2280755,38.5852444,"3834 texas ave, st. louis, mo 63118, usa"
